Trade_ID,Strategy,Mode,Side,Entry_Time,Entry_Price,status,Is_Risk_Free,Peak_Price,Rem_Qty,TP1_Hit,TP2_Hit,SL,Fibo_Target,Exit_Price,Exit_Time,Exit_Reason,PnL_Pct
G_231845,GAMMA,GAMMA_HEDGE,LONG,2024-12-23 18:45:00,352.38,CLOSED,True,372.32,1.0,False,False,362.9281,368.2371,372.32,2024-12-23 21:00:00,TP_FULL,0.05658663942334979
G_232130,GAMMA,GAMMA_HEDGE,LONG,2024-12-23 21:30:00,370.18,CLOSED,True,388.58,1.0,False,False,382.1391,386.8381,388.58,2024-12-23 22:45:00,TP_FULL,0.04970554865200707
G_232300,GAMMA,GAMMA_HEDGE,LONG,2024-12-23 23:00:00,383.66,CLOSED,False,386.24,1.0,False,False,377.9051,400.9247,375.87,2024-12-24 01:15:00,SL_HIT,-0.020304436219569462
G_241100,GAMMA,GAMMA_HEDGE,SHORT,2024-12-24 11:00:00,369.18,CLOSED,False,368.73,1.0,False,False,374.7177,352.5669,376.31,2024-12-24 12:00:00,SL_HIT,-0.019313072214096092
G_241400,GAMMA,GAMMA_HEDGE,LONG,2024-12-24 14:00:00,375.39,CLOSED,False,379.49,1.0,False,False,369.75915,392.28254999999996,369.38,2024-12-25 00:45:00,SL_HIT,-0.016010016249766886
G_250245,GAMMA,GAMMA_HEDGE,SHORT,2024-12-25 02:45:00,368.61,CLOSED,False,365.88,1.0,False,False,374.13915,352.02255,376.58,2024-12-25 05:00:00,SL_HIT,-0.02162176826456138
G_260415,GAMMA,GAMMA_HEDGE,SHORT,2024-12-26 04:15:00,355.5,CLOSED,True,349.8,1.0,False,False,351.5775,339.5025,351.8,2024-12-26 07:00:00,SL_HIT,0.01040787623066101
G_260630,GAMMA,GAMMA_HEDGE,SHORT,2024-12-26 06:30:00,350.92,CLOSED,True,339.56,1.0,False,False,341.3146,335.1286,342.46,2024-12-26 09:00:00,SL_HIT,0.02410805881682445
G_260900,GAMMA,GAMMA_HEDGE,SHORT,2024-12-26 09:00:00,342.46,CLOSED,True,337.24,1.0,False,False,338.95230000000004,327.04929999999996,341.36,2024-12-26 14:00:00,SL_HIT,0.0032120539625064707
G_270515,GAMMA,GAMMA_HEDGE,SHORT,2024-12-27 05:15:00,339.38,CLOSED,False,335.25,1.0,False,False,344.47069999999997,324.1079,350.16,2024-12-27 09:00:00,SL_HIT,-0.03176380458483125
